gender,cgpa,stream,work_experience,internship_experience,technical_proficiency,communication_skills,leadership_role,num_projects,competitions_won,final_package
Prefer not to say,6.25,Marketing,45.2,7.9,1.9,3.3,Coordinator,1,3,11 - 15 LPA
Female,9.82,Finance,26.8,1.4,2.5,2.5,Joint Coordinator,2,0,7 - 10 LPA
Prefer not to say,7.67,Marketing,2.3,2.1,2.3,1.0,Member,2,1,3 - 6 LPA
Prefer not to say,7.65,Marketing,2.8,0.4,2.4,3.9,Member,0,1,3 - 6 LPA
Male,4.73,Marketing,10.3,0.2,2.8,3.4,Coordinator,2,1,3 - 6 LPA
Male,9.82,Operations,22.4,16.8,3.2,3.9,Member,1,0,7 - 10 LPA
Prefer not to say,4.27,Finance,5.9,3.0,3.8,2.5,Member,1,1,3 - 6 LPA
Prefer not to say,8.81,Operations,1.2,26.0,2.3,3.6,Organizer,0,3,7 - 10 LPA
Female,4.44,Operations,6.7,0.7,3.3,4.0,Joint Coordinator,1,0,3 - 6 LPA
Male,5.95,Finance,19.6,6.1,2.9,4.0,Member,0,2,3 - 6 LPA
Female,8.63,HR,10.2,4.4,2.6,2.9,Joint Coordinator,0,0,3 - 6 LPA
Female,7.82,Marketing,5.7,4.3,2.8,3.4,Coordinator,2,0,3 - 6 LPA
Male,5.74,HR,2.6,15.9,3.5,4.2,None,2,3,3 - 6 LPA
Prefer not to say,5.91,HR,1.7,1.6,4.3,2.7,None,1,1,3 - 6 LPA
Prefer not to say,5.33,Business Analytics,1.9,2.5,2.8,3.4,Member,2,2,3 - 6 LPA
Female,6.98,Marketing,5.4,2.0,3.1,2.6,Member,1,0,3 - 6 LPA
Prefer not to say,9.45,Operations,4.1,0.9,3.3,3.0,None,2,0,7 - 10 LPA
Female,8.37,Operations,6.9,6.0,3.6,5.0,Joint Coordinator,0,1,3 - 6 LPA
Male,5.12,Marketing,0.6,5.4,1.4,3.1,Member,1,1,3 - 6 LPA
Female,9.62,Marketing,2.2,2.5,2.6,3.6,None,4,0,7 - 10 LPA
Male,9.38,Business Analytics,34.6,6.0,1.8,1.7,Joint Coordinator,5,0,11 - 15 LPA
Prefer not to say,9.39,HR,14.0,0.1,3.3,2.3,Joint Coordinator,0,0,7 - 10 LPA
Female,7.29,Finance,17.7,6.3,3.7,2.0,Member,1,3,7 - 10 LPA
Prefer not to say,7.41,International Business,1.5,2.8,2.1,2.2,Member,5,1,7 - 10 LPA
Prefer not to say,5.17,International Business,19.2,2.0,3.0,2.9,Joint Coordinator,4,0,3 - 6 LPA
Prefer not to say,9.57,Finance,8.4,20.4,2.2,1.5,Joint Coordinator,2,2,7 - 10 LPA
Female,7.42,HR,1.5,5.7,4.1,3.1,None,3,0,3 - 6 LPA
Prefer not to say,8.86,International Business,24.9,12.1,3.0,3.9,Member,5,0,11 - 15 LPA
Prefer not to say,6.25,HR,1.5,5.2,3.0,2.5,None,2,0,3 - 6 LPA
Male,4.22,Finance,25.9,2.7,3.1,1.9,None,2,0,3 - 6 LPA
Female,4.31,Business Analytics,11.4,4.7,4.4,3.8,Joint Coordinator,3,0,3 - 6 LPA
Male,6.63,Operations,1.2,0.2,2.2,4.7,None,1,0,3 - 6 LPA
